MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366971980,2020-04-20T01:30:23,53.90059,-166.53143,0.0,252.6,58.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T01:26:57,53.90059,-166.53143,0.0,229.7,58.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T01:31:34,53.90058,-166.53143,0.0,222.5,58.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T01:33:54,53.90059,-166.53143,0.0,227.9,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T01:32:43,53.90059,-166.53143,0.0,214.4,58.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T01:59:33,53.90058,-166.53145,0.0,206.7,56.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T01:49:15,53.90059,-166.53143,0.0,227.2,56.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T01:38:54,53.90058,-166.53141,0.0,281.0,56.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T01:43:25,53.90059,-166.53143,0.0,242.5,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T01:44:33,53.90057,-166.53146,0.0,250.7,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:04:05,53.90057,-166.53145,0.0,169.8,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T01:45:55,53.90057,-166.53144,0.0,217.0,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T01:48:06,53.90058,-166.53143,0.0,229.8,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:06:25,53.90059,-166.53143,0.0,233.7,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T00:08:16,53.90059,-166.53142,0.0,318.9,58.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T01:40:04,53.90059,-166.53142,0.0,312.3,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:08:44,53.90059,-166.53144,0.0,265.3,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T01:41:13,53.90059,-166.53142,0.0,226.1,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:00:05,53.90057,-166.53144,0.0,197.6,56.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T01:57:05,53.90057,-166.53145,0.0,168.5,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:13:26,53.90058,-166.53145,0.0,288.6,56.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T01:50:25,53.90059,-166.53143,0.0,257.7,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:01:14,53.90057,-166.53142,0.0,299.4,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T01:51:34,53.90059,-166.53144,0.0,234.6,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:16:55,53.90056,-166.53148,0.0,335.4,56.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:09:55,53.90059,-166.53145,0.0,247.5,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:05:14,53.90058,-166.53144,0.0,259.1,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:20:41,53.90057,-166.53144,0.0,239.0,55.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:07:34,53.90058,-166.53144,0.0,305.7,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T00:21:06,53.9006,-166.53141,0.0,355.1,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:02:25,53.90058,-166.53144,0.0,259.8,56.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:21:47,53.90058,-166.53147,0.0,233.1,56.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:22:55,53.90057,-166.53146,0.0,331.8,56.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:25:16,53.9006,-166.53142,0.0,242.4,56.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:11:04,53.90059,-166.53145,0.0,242.0,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:14:36,53.90057,-166.53146,0.0,180.8,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:44:06,53.90059,-166.53143,0.0,226.1,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:38:14,53.90059,-166.53144,0.0,10.3,56.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T00:35:39,53.90055,-166.53143,0.0,162.7,57.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:19:34,53.90057,-166.53143,0.0,342.3,56.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:37:06,53.90059,-166.53142,0.0,250.1,56.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
366971980,2020-04-20T02:28:46,53.90057,-166.53146,0.0,353.3,56.0,MILLENNIUM STAR,IMO9228942,WDA2184,31.0,0.0,32.0,10.0,4.9,52.0,A
